idcom;nomcom;idsp
CIV0100010101;ABOBO;CIV01000101
CIV0100010102;ADJAME;CIV01000101
CIV0100010103;ATTECOUBE;CIV01000101
CIV0100010104;COCODY;CIV01000101
CIV0100010105;KOUMASSI;CIV01000101
CIV0100010106;MARCORY;CIV01000101
CIV0100010107;PLATEAU;CIV01000101
CIV0100010108;PORT-BOUET;CIV01000101
CIV0100010109;TREICHVILLE;CIV01000101
CIV0100010110;YOPOUGON;CIV01000101
CIV0100010201;ANYAMA;CIV01000102
CIV0100010301;BINGERVILLE;CIV01000103
CIV0100010501;SONGON;CIV01000105
CIV0200010101;ATTIEGOUAKRO;CIV02000101
CIV0200020101;YAMOUSSOUKRO;CIV02000201
CIV0301010101;FRESCO;CIV03010101
CIV0301020101;SASSANDRA;CIV03010201
CIV0302010101;BUYO;CIV03020101
CIV0302020301;GUEYO;CIV03020203
CIV0302030101;MEAGUI;CIV03020301
CIV0302040101;SOUBRE;CIV03020401
CIV0302040301;GRAND-ZATTRY;CIV03020403
CIV0302040401;MAYO;CIV03020404
CIV0303010101;SAN-PEDRO;CIV03030101
CIV0303010501;GRAND-BEREBY;CIV03030105
CIV0303020101;TABOU;CIV03030201
CIV0303020501;GRABO;CIV03030205
CIV0401010101;ABENGOUROU;CIV04010101
CIV0401010501;NIABLE;CIV04010105
CIV0401020201;AGNIBILEKROU;CIV04010202
CIV0401030101;BETTIE;CIV04010301
CIV0402010101;ABOISSO;CIV04020101
CIV0402010401;AYAME;CIV04020104
CIV0402010701;MAFERE;CIV04020107
CIV0402020101;ADIAKE;CIV04020201
CIV0402020201;ASSINIE;CIV04020202
CIV0402030301;BONOUA;CIV04020303
CIV0402030401;GRAND-BASSAM;CIV04020304
CIV0402040101;TIAPOUM;CIV04020401
CIV0501010101;KANIASSO;CIV05010101
CIV0501010201;GOULIA;CIV05010102
CIV0501020101;MINIGNAN;CIV05010201
CIV0501020401;TIENKO;CIV05010204
CIV0502010201;GBELEBAN;CIV05020102
CIV0502010401;SEYDOUGOU;CIV05020104
CIV0502020101;MADINANI;CIV05020201
CIV0502030101;ODIENNE;CIV05020301
CIV0502030201;BAKO;CIV05020302
CIV0502030401;DIOULATIEDOUGOU;CIV05020304
CIV0502030501;TIEME;CIV05020305
CIV0502040101;SAMATIGUILA;CIV05020401
CIV0502050101;SEGUELON;CIV05020501
CIV0601010101;GAGNOA;CIV06010101
CIV0601010901;GUIBEROUA;CIV06010109
CIV0601011001;OURAGAHIO;CIV06010110
CIV0601020101;OUME;CIV06010201
CIV0601020201;DIEGONEFLA;CIV06010202
CIV0602010101;DIVO;CIV06020101
CIV0602010401;HIRE;CIV06020104
CIV0602020101;GUITRY;CIV06020201
CIV0602030101;LAKOTA;CIV06020301
CIV0602030601;ZIKISSO;CIV06020306
CIV0701010101;DIDIEVI;CIV07010101
CIV0701010501;TIE-N''DIEKRO;CIV07010105
CIV0701020101;DJEKANOU;CIV07010201
CIV0701030101;TIEBISSOU;CIV07010301
CIV0701040101;TOUMODI;CIV07010401
CIV0701040301;KOKUMBO;CIV07010403
