idvillage,idquart,nomquart,typequart,nomvill,histoquart
CIV1002040400006,001,DETROYA,VILLAGE NOYAU,DETROYA,
CIV1002040400006,002,BEDIEGBEU,VILLAGE RATTACHE,DETROYA,
CIV1002040400006,003,BASSARAGUHE 2,VILLAGE RATTACHE,DETROYA,
CIV1002040400006,004,WALEBO 2,CAMPEMENT VILLAGE NOYAU,DETROYA,
CIV1002040400006,005,LOBIBOUGOU,CAMPEMENT VILLAGE NOYAU,DETROYA,
CIV1002040400006,006,DJAMOU NGUESSNKRO,CAMPEMENT VILLAGE NOYAU,DETROYA,
CIV1002040400006,007,WALEBO 1,CAMPEMENT VILLAGE NOYAU,DETROYA,
CIV1002040400006,008,AMANI NGUESSANKRO,CAMPEMENT VILLAGE RATTACHE,DETROYA,
CIV1002040400006,009,BEDIEGBEU,VILLAGE RATTACHE,DETROYA,
CIV1002040400006,010,FIRMINKRO,CAMPEMENT VILLAGE RATTACHE,DETROYA,
CIV1002040400006,011,OUSMANEBOUGOU,CAMPEMENT VILLAGE RATTACHE,DETROYA,
CIV1002040400006,012,KOUAMEBAKRO,CAMPEMENT VILLAGE RATTACHE,DETROYA,
