iddist;idreg;nomreg;cheflieureg;superfireg;nbrvilreg
CIV01;CIV0100;DISTRICT AUTONOME D'ABIDJAN;ABIDJAN;584;136
CIV02;CIV0200;DISTRICT AUTONOME DE YAMOUSSOUKRO;YAMOUSSOUKRO;2132;74
CIV03;CIV0301;GBOKLE;SASSANDRA;6150;104
CIV03;CIV0302;NAWA;SOUBRE;9639;206
CIV03;CIV0303;SAN-PEDRO;SAN PEDRO;12297;253
CIV04;CIV0401;INDENIE-DJUABLIN;ABENGOUROU;6869;146
CIV04;CIV0402;SUD-COMOE;ABOISSO;6806;202
CIV05;CIV0501;FOLON;MINIGNAN;6838;84
CIV05;CIV0502;KABADOUGOU;ODIENNE;14198;157
CIV06;CIV0601;GOH;GAGNOA;7066;208
CIV06;CIV0602;LOH-DJIBOUA;DIVO;8746;233
CIV07;CIV0701;BELIER;TOUMODI;8859;281
CIV07;CIV0702;IFOU;DAOUKRO;3434;221
CIV07;CIV0703;MORONOU;BONGOUANOU;5504;118
CIV07;CIV0704;N'ZI;DIMBOKRO;10273;209
CIV08;CIV0801;AGNEBY-TIASSA;AGBOVILLE;8152;183
CIV08;CIV0802;GRAND-PONTS;DABOU;6596;138
CIV08;CIV0803;ME;ADZOPE;8280;113
CIV09;CIV0901;CAVALLY;GUIGLO;11294;140
CIV09;CIV0902;GUEMON;DUEKOUE;7419;222
CIV09;CIV0903;TONKPI;MAN;12250;615
CIV10;CIV1001;MARAHOUE;BOUAFLE;8612;242
CIV10;CIV1002;HAUT SASSANDRA;DALOA;15165;348
CIV11;CIV1101;BAGOUE;BOUNDIALI;10164;162
CIV11;CIV1102;PORO;KORHOGO;12617;736
CIV11;CIV1103;TCHOLOGO;FERKESSEDOUGOU;17255;205
CIV12;CIV1201;GBEKE;BOUAKE;8926;646
CIV12;CIV1202;HAMBOL;KATIOLA;19512;305
CIV13;CIV1301;BAFING;TOUBA;8791;295
CIV13;CIV1302;BERE;MANKONO;11018;216
CIV13;CIV1303;WORODOUGOU;SEGUELA;11490;213
CIV14;CIV1401;BOUNKANI;BOUNA;21816;670
CIV14;CIV1402;GONTOUGO;BONDOUKOU;16286;467
