iddep|idsp|nomspref|superfisp|nbrvilsp|limitgeosp
CIV010001|CIV01000101|ABIDJAN|585|58|Nord: Anyama, Brofodoumé ; Sud: Golfe de Guinée ; Est: Bingerville, Grand-Bassam ; Ouest: Songon 
CIV010001|CIV01000102|ANYAMA|480|24|Nord: Guessigué, Azaguié; Sud: Abidjan, Songon ; Est: Brofodoumé  ; Ouest: Songon
CIV010001|CIV01000103|BINGERVILLE|231|18|Nord: Brofodoumé, Alépé ; Sud: Abidjan, Grand-Bassam ; Est: Oghlwapo ; Ouest: Abidjan
CIV010001|CIV01000104|BROFODOUME|237|11|Nord: Azaguié ; Sud: Bingerville ; Est: Alépé, Danguira ; Ouest: Anyama 
CIV010001|CIV01000105|SONGON|620|25|Nord:Sikensi, Gomon, Guessigué; Sud: Golfe de Guinée ; Est: Anyama, Abidjan ; Ouest: Jacqueville, Attoutou, Dabou
CIV020001|CIV02000101|ATTIEGOUAKRO|308|11|Nord: Lolobo, Akpabo-Sakassou  ; Sud: Angonda; Est: Abigui ; Ouest: Yamoussoukro
CIV020001|CIV02000102|LOLOBO|499|20|Nord: Molonou, Tiébissou ; Sud: Yamoussoukro, Attiégouakro ; Est: Lomokankro, Akpabo-Sakassou ; Ouest: Yamoussoukro
CIV020002|CIV02000201|YAMOUSSOUKRO|967|32|Nord: Lolobo, Molonou  ; Sud: Oumé; Kokoumbo ; Est: Toumodi, Attiégouakro ; Ouest: Kossou, Bazré
CIV020002|CIV02000202|KOSSOU|358|11|Nord: Molonou ; Sud: Bazré ; Est: Yamoussoukro  ; Ouest: Bouaflé , Begbessou 
CIV030101|CIV03010101|FRESCO|644|10| Nord : Dahiri, Sago ; Sud : Golf de Guinée; Est : Ebonou ; Ouest : Sago, Sassandra
CIV030101|CIV03010102|DAHIRI|793|4| Nord : Gbagbam; Sud : Fresco; Est : Lauzoua, Ebonou; Ouest : Sago
CIV030101|CIV03010103|GBAGBAM|578|3| Nord : Niamzeberia, Goudouko ; Sud : Fresco; Est : Guitry ; Ouest : Sago
CIV030102|CIV03010201|SASSANDRA|864|38| Nord : Lobakuya, Medon, Sago, Dakpadou; Sud : Golf de Guinée ; Est : Sago, Fresco; Ouest : Gabiadji, San-Pedro
CIV030102|CIV03010202|DAKPADOU|743|14| Nord : Grihiri, Dabouyo ; Sud : Sassandra ; Est : Sago ; Ouest : Medon
CIV030102|CIV03010203|GRIHIRI|770|6| Nord : Okrouyo ; Sud : Lobakuya, Medon ; Est : Dabouyo, Dakpadou   ; Ouest : Gabiadji
CIV030102|CIV03010204|LOBAKUYA|445|7| Nord : Méagui, Grihiri; Sud : Sassandra ; Est : Medon ; Ouest : Gabiadji
CIV030102|CIV03010205|MEDON|389|4| Nord : Grihiri, Dakpadou; Sud : Sassandra ; Est : Dakpadou ; Ouest : Lobakuya
CIV030102|CIV03010206|SAGO|926|18| Nord : Niambezaria; Sud : Sassandra, Fresco ; Est : Gbagbam, Dahiri ; Ouest : Dabouyo, Dakpadou
CIV030201|CIV03020101|BUYO|1025|13|Nord : Gbapleu, Guézon ; Sud : Dapéoua ; Est : Iboguhé, Namané ; Ouest : Zagné
CIV030201|CIV03020102|DAPEOUA|1124|9|Nord : Namané, Buyo ; Sud : Gnamangui, Soubré ; Est : Grand-Zattry; Ouest : Taï, Buyo
CIV030202|CIV03020202|DABOUYO|426|11|Nord : Guéyo ; Sud : Dakpadou ; Est : Sago, Niambezaria ; Ouest : Grihiri, Dakpadou 
CIV030202|CIV03020203|GUEYO|321|19|Nord : Serihio, Okrouyo ; Sud : Grihiri, Dabouyo ; Est Doukouyo, Niambezaria; Ouest : Okrouyo, Grihiri
CIV030203|CIV03020301|MEAGUI|697|27| Nord : Oupoyo, Okrouyo ; Sud : Gabiadji, Doba ; Est : Grihiri ; Ouest : Doba
