idvillage,idsp,idcom,secteur_com,nomvill
CIV0100010101001,CIV01000101,CIV0100010101,Secteur communal,ADJAME
CIV0100010102002,CIV01000101,CIV0100010102,Secteur communal,ABEBROUKOI
CIV0100010102001,CIV01000101,CIV0100010102,Secteur communal,ABOBO
CIV0100010102003,CIV01000101,CIV0100010102,Secteur communal,ABOBO-BAOULE
CIV0100010102004,CIV01000101,CIV0100010102,Secteur communal,ABOBO-TE
CIV0100010102005,CIV01000101,CIV0100010102,Secteur communal,ADJAMEMIN
CIV0100010102006,CIV01000101,CIV0100010102,Secteur communal,AGBEKOI
CIV0100010102007,CIV01000101,CIV0100010102,Secteur communal,AGNISSANKOI
CIV0100010102008,CIV01000101,CIV0100010102,Secteur communal,ANONKOUA-KOUTE
CIV0100010102009,CIV01000101,CIV0100010102,Secteur communal,DJIBI
CIV0100010102010,CIV01000101,CIV0100010102,Secteur communal,N'GUESSANKOI
CIV0100010103001,CIV01000101,CIV0100010103,Secteur communal,ABIDJAN-AGBAN
CIV0100010103002,CIV01000101,CIV0100010103,Secteur communal,ABIDJAN-SANTE
CIV0100010103003,CIV01000101,CIV0100010103,Secteur communal,AGBOGON-DOUMIN
CIV0100010103004,CIV01000101,CIV0100010103,Secteur communal,ATTECOUBE
CIV0100010103005,CIV01000101,CIV0100010103,Secteur communal,LOCODJRO
CIV0100010104001,CIV01000101,CIV0100010104,Secteur communal,AKOUEDO
CIV0100010104002,CIV01000101,CIV0100010104,Secteur communal,ANONO
CIV0100010104003,CIV01000101,CIV0100010104,Secteur communal,BAHOUAKOI
CIV0100010104004,CIV01000101,CIV0100010104,Secteur communal,BLOCKHAUSS
CIV0100010104005,CIV01000101,CIV0100010104,Secteur communal,COCODY
CIV0100010104006,CIV01000101,CIV0100010104,Secteur communal,COCODY VILLAGE
CIV0100010104007,CIV01000101,CIV0100010104,Secteur communal,DJOROGOBITE I
CIV0100010104008,CIV01000101,CIV0100010104,Secteur communal,DJOROGOBITE II
CIV0100010104009,CIV01000101,CIV0100010104,Secteur communal,KOFFAKOI
CIV0100010104010,CIV01000101,CIV0100010104,Secteur communal,M'POUTO
CIV0100010104011,CIV01000101,CIV0100010104,Secteur communal,N'GBADON
CIV0100010105001,CIV01000101,CIV0100010105,Secteur communal,KOUMASSI
CIV0100010106001,CIV01000101,CIV0100010106,Secteur communal,ABIA-ABETI
CIV0100010106002,CIV01000101,CIV0100010106,Secteur communal,ABIA-KOUMASSI
CIV0100010106003,CIV01000101,CIV0100010106,Secteur communal,ANOUMAMBO
CIV0100010106004,CIV01000101,CIV0100010106,Secteur communal,MARCORY
CIV0100010107001,CIV01000101,CIV0100010107,Secteur communal,ABIDJAN
CIV0100010107002,CIV01000101,CIV0100010107,Secteur communal,PLATEAU
CIV0100010108001,CIV01000101,CIV0100010108,Secteur communal,ABIA-GNAMBO
CIV0100010108002,CIV01000101,CIV0100010108,Secteur communal,ABOUABOU
CIV0100010108003,CIV01000101,CIV0100010108,Secteur communal,ADJAHUI-COUBE
CIV0100010108004,CIV01000101,CIV0100010108,Secteur communal,AMANGOUAKOI
CIV0100010108005,CIV01000101,CIV0100010108,Secteur communal,MAFIBLE I
CIV0100010108006,CIV01000101,CIV0100010108,Secteur communal,MAFIBLE II
CIV0100010108007,CIV01000101,CIV0100010108,Secteur communal,PORT-BOUET
CIV0100010108008,CIV01000101,CIV0100010108,Secteur communal,VRIDI AKO
CIV0100010109001,CIV01000101,CIV0100010109,Secteur communal,TREICHVILLE
CIV0100010110001,CIV01000101,CIV0100010110,Secteur communal,ADIOPODOUMIN
CIV0100010110002,CIV01000101,CIV0100010110,Secteur communal,ANDOKOI
